Flat-Pot,Flat,Pot,Pop,ID ,No.,Fl_Time,Fl_Node,St_Height,St_Diam,Fl_Length,Fl_Wid,Fl_Height,Brnc_No,Leaf_No,Time_Bud
7-30,7,30,FSM,85,2,3/6/2019,1,2.5,1,1.2,1.1,1.2,2,10,2/26/2019
7-31,7,31,SMG,14,1,3/3/2019,3,6.2,1.9,1.7,1.7,1.7,5,24,2/26/2019
7-32,7,32,HOV,79,2,2/27/2019,1,4.3,0.7,1,1.2,1.1,0,4,2/21/2019
8-1,8,1,SEC,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-2,8,2,OWC,89,1,3/6/2019,3,8.6,1.8,1.7,2,1.8,2,16,2/25/2019
8-3,8,3,FSM,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-4,8,4,SEC,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-5,8,5,HOV,44,1,4/6/2019,6,5.1,1.2,1.2,1.7,1.6,10,92,3/26/2019
8-6,8,6,HDM,96,2,3/5/2019,2,5.7,1.4,1.5,1.5,1.5,2,12,2/27/2019
8-7,8,7,HOV,17,1,2/26/2019,2,4.6,1,1.2,1.4,1.2,0,8,2/20/2019
8-8,8,8,MTD,50,2,3/14/2019,4,7.5,2.5,1.6,1.9,0.9,6,58,3/7/2019
8-9,8,9,SMG,12,2,4/10/2019,8,7.6,2,1.3,1.1,1.2,6,66,4/5/2019
8-10,8,10,SEC,32,2,3/15/2019,5,4.6,1.2,1.4,1.5,1.3,3,44,3/6/2019
8-11,8,11,MBR,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-12,8,12,HOV,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-13,8,13,RRM,41,1,3/31/2019,8,11.2,1.6,1.6,1.5,1.6,8,92,3/23/2019
8-14,8,14,MBR,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-15,8,15,OWC,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-16,8,16,RRM,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-17,8,17,EVS,6,1,3/12/2019,5,16.3,2.3,1.7,1.9,2.1,5,32,3/5/2019
8-18,8,18,FIR,81,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-19,8,19,SEC,62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-20,8,20,HOV,77,1,3/1/2019,2,10.2,2.5,1.8,1.8,1.6,2,14,2/23/2019
8-21,8,21,MBR,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8-22,8,22,SMG,19,1,3/6/2019,3,6.8,1.7,1.3,1.5,1.3,3,22,2/26/2019
8-23,8,23,MTD,41,1,3/7/2019,2,6.2,1.8,1.2,1.9,1.1,2,20,3/1/2019
8-24,8,24,EVS,35,1,3/12/2019,3,16.2,2.5,1.8,1.6,1.5,1,14,3/5/2019
8-25,8,25,FIR,40,1,3/3/2019,3,6.1,1.4,1.5,1.6,1.4,6,26,2/24/2019
